Sno,frequency,surprise,like,c1_familiarity,c2_familiarity
734,23,5,4,4,4
735,20,3,4,4,5
736,24,2,2,3,1
737,28,1,4,4,3
738,15,4,2,1,3
739,13,5,4,2,3
740,34,1,1,1,1
741,25,4,3,4,2
742,32,2,3,1,1
743,10,2,3,3,3
744,43,2,3,2,1
745,16,2,3,5,1
746,5,3,2,2,3
747,9,3,3,3,4
748,23,5,5,5,2
749,24,1,5,1,4
750,32,3,5,3,1
751,12,2,4,5,5
752,33,2,2,4,3
753,27,1,1,1,3
754,38,3,5,5,5
755,9,2,2,3,3
756,20,4,5,2,4
757,17,5,4,4,4
758,32,4,3,3,5
759,11,2,1,3,3
760,23,4,4,5,2
761,27,1,2,3,4
762,9,2,3,5,4
763,17,5,3,3,3
764,66,2,2,2,3
765,15,5,5,3,4
766,39,3,4,5,5
767,33,1,3,3,2
768,25,5,5,1,2
769,26,1,3,4,4
770,11,1,4,3,5
771,19,3,2,2,2
772,18,4,5,3,5
773,36,3,4,1,2
774,34,5,5,2,3
775,21,4,3,4,4
776,22,3,3,2,2
777,15,2,3,2,4
778,33,1,4,5,5
779,43,4,5,4,4
780,30,2,3,2,2
781,12,5,4,2,4
782,28,5,5,1,1
783,36,3,2,2,3
784,12,3,2,4,1
785,27,3,5,3,4
786,28,4,4,2,4
787,31,5,5,5,5
788,22,4,4,2,4
789,27,2,4,4,4
790,26,2,2,2,2
791,25,5,5,4,3
792,47,5,5,5,4
793,39,5,4,3,4
794,26,1,4,1,4
795,18,3,2,1,2
796,27,4,3,2,3
797,49,1,3,4,4
798,35,2,2,2,3
799,25,2,4,3,3
800,34,4,4,3,3
801,20,2,3,2,5
802,24,2,1,4,3
803,35,3,4,2,2
804,21,4,4,4,4
805,19,4,1,2,4
806,17,4,3,3,1
807,36,4,5,2,3
808,17,1,2,1,2
809,29,5,5,3,1
810,29,1,4,4,3
811,17,5,3,2,4
812,34,2,2,3,4
813,41,5,5,4,1
814,10,5,5,1,1
815,73,1,4,2,4
816,16,4,3,5,5
817,28,4,3,5,4
818,32,2,2,3,3
819,35,1,3,1,1
820,24,4,4,3,5
821,32,2,4,1,1
822,16,5,4,5,5
823,22,4,4,5,4
824,14,2,3,1,2
825,25,5,4,2,3
826,28,4,5,2,1
827,26,4,3,3,4
828,21,2,3,4,3
829,9,3,4,4,5
830,35,5,5,5,5
831,23,5,5,3,4
832,29,4,3,3,3
833,10,2,2,3,3
834,17,4,3,3,4
835,25,1,2,5,5
836,26,2,4,4,4
837,34,3,5,1,1
838,24,3,5,3,3
839,26,3,4,5,5
840,30,4,4,3,3
841,15,4,5,5,4
842,36,1,4,4,3
843,52,2,2,3,3
844,17,3,4,4,4
845,27,4,5,5,5
846,55,2,2,3,3
847,25,5,5,1,2
848,13,2,4,3,5
849,20,3,3,5,5
850,5,4,4,3,3
851,17,5,4,4,3
852,18,4,4,3,2
853,17,3,3,4,5
854,26,3,5,5,4
855,21,4,3,4,1
856,39,2,3,4,2
857,26,3,4,3,3
858,25,1,5,5,4
859,7,3,3,4,3
860,12,3,4,4,4
861,22,3,2,3,2
862,38,5,4,5,5
863,41,4,4,5,5
864,29,1,5,5,3
865,20,4,4,3,1
866,30,3,4,4,2
867,38,3,4,5,1
868,25,4,3,4,4
869,22,5,5,5,5
870,11,4,5,4,5
871,32,4,5,5,4
872,26,3,1,2,1
873,25,1,4,4,1
874,12,2,5,3,5
875,37,5,5,2,2
876,46,3,3,1,1
877,18,5,3,3,2
878,16,1,5,2,2
879,22,4,4,4,4
880,46,5,5,4,5
881,27,2,1,4,4
882,1,1,5,5,4
883,21,3,2,4,3
884,44,2,3,5,2
885,21,5,4,1,1
886,21,5,1,1,2
887,40,1,3,5,1
888,9,3,4,3,4
889,21,5,2,1,1
890,16,1,5,3,5
891,54,4,4,4,3
892,50,2,4,5,3
893,32,1,4,4,4
894,38,1,3,4,3
895,48,1,4,4,4
896,47,2,4,4,4
897,34,2,3,1,1
898,21,1,4,4,3
899,31,3,2,2,4
900,26,1,1,5,5
901,34,4,3,3,3
902,16,3,2,2,2
903,39,4,5,2,3
904,28,5,5,3,2
905,14,1,1,1,3
906,46,4,3,4,4
907,30,2,3,4,4
908,49,1,1,5,2
909,34,4,4,5,5
910,27,4,5,3,3
911,33,1,3,3,3
912,22,4,3,3,4
913,37,5,5,3,2
914,37,2,4,2,2
915,19,4,4,3,5
916,36,2,5,4,3
917,23,4,3,5,5
918,20,3,4,4,3
919,28,4,4,3,3
920,33,5,4,2,1
921,20,3,1,2,2
922,25,1,4,4,1
923,9,2,2,2,1
924,34,5,5,1,2
925,40,4,4,4,3
926,27,2,4,3,5
927,25,2,4,4,4
928,30,5,5,3,4
929,43,3,4,3,4
930,29,3,4,4,4
931,14,4,5,3,2
932,18,2,3,4,2
933,25,1,2,1,2
934,28,4,4,4,3
935,18,2,4,1,4
936,33,5,3,1,1
937,16,2,4,5,4
938,16,4,3,5,2
939,34,4,2,3,4
940,28,4,4,3,2
941,27,3,4,2,3
942,35,4,1,1,1
943,42,4,4,2,2
944,30,2,5,3,4
945,32,4,5,4,4
946,8,4,3,2,4
947,32,2,2,4,3
948,29,4,4,3,3
949,41,2,4,3,3
950,32,5,3,5,1
951,71,2,4,3,3
952,16,2,4,4,3
953,38,4,5,4,1
954,26,4,4,2,2
955,10,4,3,3,1
956,18,4,3,3,3
957,34,3,4,4,3
958,46,3,4,5,5
959,64,4,4,3,4
960,46,3,4,4,2
961,15,2,4,3,2
962,40,4,4,1,1
963,42,3,3,3,3
964,37,2,4,4,4
965,15,5,3,2,2
966,38,3,4,2,2
967,16,3,1,1,1
968,15,4,5,4,3
969,14,3,4,3,3
970,11,4,4,5,5
971,39,4,4,4,2
972,32,5,5,3,3
973,41,3,4,3,3
974,19,3,5,3,4
975,22,2,3,3,5
976,31,2,4,2,5
977,84,2,4,5,1
978,26,2,4,3,2
979,20,2,3,1,4
980,29,4,4,4,4
981,16,3,2,4,3
982,17,3,2,3,4
983,30,3,3,5,2
984,39,4,4,3,3
985,33,2,5,5,4
986,39,4,4,4,4
987,41,2,2,3,3
988,5,2,1,3,5
989,29,2,2,3,3
990,26,4,5,4,3
991,9,4,4,2,4
992,52,4,2,4,3
993,30,2,5,4,4
994,19,3,2,3,2
995,38,4,4,5,3.099750623
996,32,2,4,4,3.099750623
997,24,1,4,4,3.099750623
998,58,4,4,4,3.099750623
999,37,4,4,4,3.099750623
1000,23,3,3,4,3.099750623
1001,45,3,3,4,3.019950125
1002,82,4,4,5,3.019950125
1003,19,5,4,3,3.019950125
1004,7,1,3,4,3.019950125
1005,9,1,5,3,3.019950125
1006,14,1,5,3,3.019950125
1007,31,3,4,3,3.019950125
1008,22,1,5,4,3.019950125
1009,4,4,5,4,3.019950125
1010,16,2,3,2,3.019950125
1011,23,4,3,2,3.019950125
1012,14,2,4,4,3.019950125
1013,35,4,5,4,3.019950125
1014,24,1,3,4,3.019950125
1015,32,4,4,3,3.019950125
1016,15,4,5,5,3.019950125
1017,18,2,3,5,3.019950125
1018,17,4,5,4,3.019950125
1019,23,3,4,1,3.019950125
1020,42,5,4,3,3.019950125
1021,31,5,4,4,3.019950125
1022,24,1,4,3,3.019950125
1023,10,5,5,2,3.019950125
1024,39,4,4,4,3.019950125
1025,20,1,2,2,3.019950125
1026,22,3,4,4,3.019950125
1027,24,3,4,4,3.019950125
1028,41,4,5,4,3.019950125
1029,20,5,5,3,3.019950125
1030,38,5,4,5,3.019950125
1031,48,5,4,1,3.019950125
1032,30,4,5,4,3.019950125
1033,23,1,5,4,3.019950125
1034,34,1,4,2,3.019950125
1035,21,3,4,4,3.019950125
1036,53,4,5,3,3.019950125
1037,11,3,2,1,3.019950125
1038,24,3,4,4,3.019950125
1039,51,1,4,3,3.019950125
1040,20,3,3,1,3.019950125
1041,15,5,4,3,3.019950125
1042,12,1,5,5,3.019950125
1043,12,4,1,3,3.019950125
1044,23,5,3,2,3.019950125
1045,23,4,4,4,3.019950125
1046,16,1,3,4,3.019950125
1047,10,2,4,2,3.019950125
1048,26,3,4,4,3.019950125
1049,20,2,4,3,3.019950125
1050,35,1,3,4,3.019950125
1051,45,2,3,3,3.019950125
1052,65,3,4,3,3.019950125
1053,23,4,4,4,3.019950125
1054,40,1,2,4,3.019950125
1055,7,5,3,2,3.019950125
1056,12,1,3,2,3.019950125
1057,14,3,2,1,3.019950125
1058,28,1,4,4,3.019950125
1059,16,2,3,3,3.019950125
1060,21,1,5,2,3.019950125
1061,15,1,2,2,3.019950125
